CarParkID,Development,LotType,Agency,id,lat,lng
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,C,HDB,ACB_C,1.301063272,103.854118
ACM,BLK 98A ALJUNIED CRESCENT,Y,HDB,ACM_Y,1.32100429,103.8850609
ACM,BLK 98A ALJUNIED CRESCENT,H,HDB,ACM_H,1.32100429,103.8850609
ACM,BLK 98A ALJUNIED CRESCENT,C,HDB,ACM_C,1.32100429,103.8850609
AH1,BLK 101 JALAN DUSUN,C,HDB,AH1_C,1.328283495,103.8446199
AR9,BLK 20/22/23 DOVER CRESCENT,C,HDB,AR9_C,1.307284363,103.7834396
AR9,BLK 20/22/23 DOVER CRESCENT,Y,HDB,AR9_Y,1.307284363,103.7834396
AR9,BLK 20/22/23 DOVER CRESCENT,H,HDB,AR9_H,1.307284363,103.7834396
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,C,HDB,AV1_C,1.285582555,103.8032153
B10,BLK 404/413 BEDOK NORTH AVENUE 3,C,HDB,B10_C,1.329028331,103.9337077
B11,BLK 416/418 BEDOK NORTH AVENUE 2,C,HDB,B11_C,1.328342005,103.9303962
B14,BLK 412/413 BEDOK NORTH AVENUE 2,C,HDB,B14_C,1.329159093,103.9314451
B16,BLK 32/63 BEDOK SOUTH AVENUE 2,C,HDB,B16_C,1.323501118,103.9405595
B17,BLK 52/57 NEW UPPER CHANGI ROAD,C,HDB,B17_C,1.324217738,103.9418572
B19,BLK 37/38/43/60 BEDOK SOUTH ROAD,C,HDB,B19_C,1.321924546,103.940961
B20,BLK 67/73 BEDOK SOUTH ROAD,C,HDB,B20_C,1.319799714,103.9434204
B21,BLK 74/82 BEDOK NORTH ROAD,C,HDB,B21_C,1.328177963,103.9410465
B24,BLK 84/89 BEDOK NORTH AVENUE 4,C,HDB,B24_C,1.33264716,103.9382946
B25,BLK 91/97 BEDOK NORTH AVENUE 4,C,HDB,B25_C,1.332969119,103.9404903
B26,BLK 98/100 BEDOK NORTH AVENUE 4,C,HDB,B26_C,1.334307987,103.9403406
B27,BLK 101/106 BEDOK NORTH AVENUE 4,C,HDB,B27_C,1.334117747,103.9380381
B28,BLK 107/110 BEDOK NORTH ROAD,C,HDB,B28_C,1.33254479,103.9355711
B30,BLK 119/123 BEDOK NORTH STREET 2,C,HDB,B30_C,1.329942835,103.9387534
B31,BLK 124/129 BEDOK NORTH STREET 2,C,HDB,B31_C,1.328501234,103.9388502
B32,BLK 130/132 BEDOK NORTH STREET 2,C,HDB,B32_C,1.32741067,103.9367575
B33,BLK 131/122 BEDOK NORTH AVENUE 3,C,HDB,B33_C,1.327240858,103.9358002
